movie_name,director,cast_name,country_name,subgenre_name
The Rocketeer,Joe Johnston,"Billy Campbell, Jennifer Connelly, Alan Arkin, Timothy Dalton, Paul Sorvino",United States,"
"
Roujin Z,Hiroyuki Kitakubo,,Japan,"Anime
"
Star Trek VI: The Undiscovered Country,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",United States,"[nb 3]
"
Terminator 2: Judgment Day,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick, Edward Furlong",United States,"[nb 4]
"
The Terror Within II,Andrew Stevens,"Andrew Stevens, Stella Stevens, Chick Vennera",United States,"
"
Trancers II,Charles Band,"Tim Thomerson, Helen Hunt",United States,"
"
Until the End of the World,Wim Wenders,"William Hurt, Solveig Dommartin, Sam Neill",GermanyAustraliaFrance,"
"
Urusei Yatsura: Always My Darling,Katsuhisa Yamada,"Fumi Hirano (voice), Toshio Furukawa (voice), Naoko Matsui (voice)",Japan,"Sixth film in the Urusei Yatsura film series
"
Vaniusha and the Space Pirate,Vladimir Danilevich,"Boris Novikov (voice), Aleftina Yevdokimova (voice), Svetlana Kharlap (voice)",Soviet Union,"Stop-motion animation short film
"
Vegas in Space,Phillip R. Ford,"Doris Fish, Timmy Spence",United States,"
"
Wax or the Discovery of Television Among the Bees,David Blair,William S. Burroughs,United States,"
"
Wedlock,Lewis Teague,"Rutger Hauer, Mimi Rogers",United States,"
"
Zeiram,Keita Amemiya,,Japan,"
"
Alien 3,David Fincher,"Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann",United StatesUnited Kingdom,"
"
Bad Channels,Ted Nicolaou,"Melissa Behr, Alex Bookston, Michael Caldwell",United States,"
"
Critters 4,Rupert Harvey,"Don Opper, Paul Whitthorne, Angela Bassett",United States,"
"
Dragon Ball Z: The Return of Cooler,Daisuke Nishio,"Masako Nozawa (voice), Toshio Furukawa (voice), Mayumi Tanaka (voice)",Japan,"Ninth anime film in the Dragon Ball franchise
"
Dragon Ball Z: Super Android 13!,Daisuke Nishio,"Masako Nozawa (voice), Ryūsei Nakao (voice), Toshio Furukawa (voice)",Japan,"Tenth anime film in the Dragon Ball franchise
"
Freejack,Geoff Murphy,"Emilio Estevez, Mick Jagger, Anthony Hopkins, Rene Russo",United States,"
"
Godzilla vs. Mothra,Takao Okawara,"Tetsuya Bessho, Satomi Kobayashi",Japan,"
"
"Honey, I Blew Up the Kid",Randal Kleiser,"Rick Moranis, Marcia Strassman, Lloyd Bridges",United States,"
"
The Lost World,Timothy Bond,"John Rhys-Davies, Eric McCormack, David Warner, Tamara Gorski",United States,"
"
Memoirs of an Invisible Man,John Carpenter,"Chevy Chase, Daryl Hannah",United States,"
"
Mindwarp (a.k.a. Brain Slasher),Steve Barnett,"Marta Alicia, Angus Scrimm, Bruce Campbell
",United States,"[nb 5][25][26]
"
Mom and Dad Save the World,Greg Beeman,"Jon Lovitz, Teri Garr, Jeffrey Jones",United States,"[27]
"
Nemesis,Albert Pyun,"Olivier Gruner, Tim Thomerson, Cary-Hiroyuki Tagawa",United States,"
"
Neon City,Monte Markham,"Michael Ironside, Vanity, Lyle Alzado, Nick Klar",United States,"[28]
"
Project Shadowchaser,John Eyres,"Frank Zagarino, Martin Kove, Meg Foster, Paul Koslo",United States,"
"
Prototype X29A,Phillip J. Roth,"Brenda Swanson, Robert Tossberg",United States,"[29]
"
Rain Without Thunder,Gary O. Bennett,"Betty Buckley, Ali Thomas, Carolyn McCormick",United States,"Drama
"
Return to the Lost World,Timothy Bond,"John Rhys-Davies, Eric McCormack, David Warner, Tamara Gorski",United States,"
"
Seedpeople,Peter Manoogian,"Sam Hennings, Andrea Roth, Dane Witherspoon, David Dunard",United States,"[30]
"
Split Second,Tony Maylam,"Rutger Hauer, Kim Cattrall, Neil Duncan",United KingdomUnited States,"
"
Tetsuo II: Body Hammer,Shinya Tsukamoto,"Tomoroh Taguchi, Shinya Tsukamoto",Japan,"
"
The Water Engine (TV film),Steven Schachter,"Charles Durning, Patti LuPone, William H. Macy",United States,"
"
Trancers III,C. Courtney Joyner,"Tim Thomerson, Helen Hunt",United States,"
"
Universal Soldier,Roland Emmerich,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker",United States,"
"
The Wicked City,"Leon Lai, Michelle Reis","Jacky Cheung, Leon Lai, Tatsuya Nakadai",Hong Kong,"
"
Acción mutante,Álex de la Iglesia,"Antonio Resines, Frederique Feder, Alex Angulo",Spain,"
"
Alien Intruder,Ricardo Jacques Gale,"Billy Dee Williams, Melinda Armstrong, Maxwell Caulfield",United States,"
"
American Cyborg: Steel Warrior,Boaz Davidson,"Joe Lara, Nicole Hansen, Yosef Shiloah",United States,"[31]
"
Arcade,Albert Pyun,"Megan Ward, Peter Billingsley, John de Lancie",United States,"
"
"Christopher Guest
","Daryl Hannah, Daniel Baldwin, Victoria Haas
","United States
","Remake of the 1958 classic Television movie
","
"
"Abel Ferrara
","Gabrielle Anwar, Terry Kinney, Billy Wirth, Forest Whitaker, Meg Tilly
","United States
","Based on the Jack Finney novel
","[32]
"
Carnosaur,Adam Simon,"Diane Ladd, Raphael Sbarge, Jennifer Runyon",United States,"
"
Coneheads,Steve Barron,"Dan Aykroyd, Jane Curtin, Michelle Burke, Michael McKean",United States,"
"
Cyborg 2,Michael Shroeder,"Angelina Jolie, Elias Koteas, Jack Palance, Billy Drago",United States,"
"
Cyborg Cop,Sam Firstenberg,"David Bradley, John Rhys-Davies, Alonna Shaw",United States,"
"
Demolition Man,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",United States,"
"
Dragon Ball Z: Broly – The Legendary Super Saiyan,Shigeyasu Yamauchi,"Masako Nozawa (voice), Bin Shimada (voice), Hiroko Emori (voice)",Japan,"Eleventh anime film in the Dragon Ball franchise
"
Dragon Ball Z: Bojack Unbound,Yoshihiro Ueda,"Masako Nozawa (voice), Tesshō Genda (voice), Toshio Furukawa (voice)",Japan,"Twelfth anime film in the Dragon Ball franchise
"
Fire in the Sky,Robert Lieberman,"D. B. Sweeney, Robert Patrick, Craig Sheffer",United States,"
"
Fortress,Stuart Gordon,"Christopher Lambert, Loryn Locklin, Kurtwood Smith",AustraliaUnited States,"
"
Freaked,"Alex Winter, Tom Stern","Alex Winter, Randy Quaid, William Sadler",United States,"Science fiction comedy[33]
"
Ghost in the Machine,Rachel Talalay,"Karen Allen, Chris Mulkey, Ted Marcoux",United States,"
"
Godzilla vs. Mechagodzilla II,Takao Okawara,,Japan,"
"
Jurassic Park,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum",United States,"[nb 6]
"
Knights,Albert Pyun,"Kris Kristofferson, Lance Henriksen, Kathy Long",United States,"[34]
"
Mandroid,Joakim Ersgard,"Curt Lowens, Brian Cousins, Jane Caldwell, Michael Della Femina",United States,"[35][36]
"
The Meteor Man,Robert Townsend,"Robert Townsend, Marla Gibbs, Eddie Griffin",United States,"
"
Patlabor: The Movie 2,Mamoru Oshii,,Japan,"Anime
"
Philadelphia Experiment II,Stephen Cornwell,"Brad Johnson, Gerrit Graham, Marjean Holden",United States,"
"
RoboCop 3,Fred Dekker,"Robert John Burke, Nancy Allen, Rip Torn, Mako Iwamatsu",United States,"
"
Robot Wars,Albert Band,"Don Michael Paul, Barbara Crampton, James Staley, Lisa Rinna",United States,"[37]
"
A.P.E.X.,Phillip J. Roth,"Richard Keats, Mitch Cox, Lisa Ann Russell",United States,"[38]
"
Automatic,John Murlowski,"Olivier Gruner, John Glover, Daphne Ashbrook",United States,"[39]
"
"John Flynn
","Edward Furlong, Frank Langella, T. Ryder Smith
","United KingdomUnited States
","
","[40]
"
Circuitry Man 2,"Robert Lovy, Steven Lovy","Vernon G. Wells, Deborah Shelton, Traci Lords",United States,"[41]
"
CyberTracker,Richard Pepin,"Don ""The Dragon"" Wilson, Richard Norton, Stacie Foster",United States,"[42]
"
Darkside Blues,"Yoshimichi Furukawa, Nobuyasu Furukawa",,Japan,"Anime
"
Death Machine,Stephen Norrington,"Brad Dourif, Ely Pouget, William Hootkins",United Kingdom,"
"
Double Dragon,James Yukich,"Robert Patrick, Mark Dacascos, Scott Wolf, Alyssa Milano",United States,"
"
Dragon Ball Z: Broly – Second Coming,Shigeyasu Yamauchi,"Masako Nozawa (voice), Bin Shimada (voice), Takeshi Kusao (voice)",Japan,"Thirteenth anime film in the Dragon Ball franchise
"
Dragon Ball Z: Bio-Broly,Yoshihiro Ueda,"Masako Nozawa (voice), Takeshi Kusao (voice), Bin Shimada (voice)",Japan,"Fourteenth anime film in the Dragon Ball franchise
"
Godzilla vs. SpaceGodzilla,Kensho Yamashita,"Jun Hashizume, Megumi Odaka, Akira Emoto",Japan,"
"
No Escape,Martin Campbell,"Ray Liotta, Lance Henriksen, Stuart Wilson",United States,"Sci-fi action
"
Oblivion,Sam Irvin,"Richard Joseph Paul, Jackie Swanson",United States,"Sci-fi western[44]
"
Project Metalbeast,Alessandro De Gaetano,"Barry Bostwick, Kane Hodder, Kim Delaney, Musetta Vander",United States,"
"
Project: Shadowchaser 2,John Eyres,"Frank Zagarino, Bryan Genesse, Beth Toussaint",United States,"[45]
"
The Puppet Masters,Stuart Orme,"Donald Sutherland, Eric Thal, Julie Warner",United States,"
"
Solar Force,Boaz Davidson,"Michael Paré, Billy Drago, Walker Brandt",United States,"[46]
"
Stargate,Roland Emmerich,"Kurt Russell, James Spader, Jaye Davidson",United States,"[nb 7]
"
Star Trek Generations,David Carson,"Patrick Stewart, William Shatner, Malcolm McDowell, Jonathan Frakes",United States,"
"
T-Force,Richard Pepin,"Jack Scalia, Evan Laurie, Bobby Johnston",United States,"[47]
"
Guyver: Dark Hero,Steve Wang,"Mark Hamill, David Hayter, Kathy Christopherson",United States,"
"
Timecop,Peter Hyams,"Jean-Claude Van Damme, Mia Sara, Ron Silver",United States,"
"
Trancers 4: Jack of Swords,David Nutter,Tim Thomerson,United States,"
"
Trancers 5: Sudden Deth,David Nutter,Tim Thomerson,United States,"
"
Alien Visitor (a.k.a. Epsilon),Rolf de Heer,"Ulli Birve, Syd Brisbane, Aletha McGrath",AustraliaItaly,"Drama
"
Attack of the 60 Foot Centerfold,Fred Olen Ray,"J.J. North, Ted Monte, Raelyn Saalman, Tim Abell",United States,"Comedy film[50]
"
Caged Heat 3000,Aaron Osborne,"Lisa Boyle, Kena Land, Bob Ferrelli",United States,"[51][52]
"
The City of Lost Children,"Jean-Pierre Jeunet, Marc Caro","Ron Perlman, Daniel Emilfork, Judith Vittet",FranceSpainGermany,"
"
Congo,Frank Marshall,"Laura Linney, Ernie Hudson, Tim Curry, Dylan Walsh",United States,"
"
Cyborg 3: The Recycler,Michael Shroeder,"Zach Galligan, Malcolm McDowell",United States,"
"
Cyborg Cop II,Sam Firstenberg,"David Bradley, Morgan Hunter, Jill Pierce",United States,"
"
The Demolitionist,Robert Kurtzman,"Nicole Eggert, Richard Grieco, Susan Tyrrell",United States,"[55]
"
Dragon Ball Z: Wrath of the Dragon,Mitsuo Hashimoto,"Masako Nozawa (voice), Hiro Yuuki (voice), Ryou Horikawa (voice)",Japan,"Sixteenth anime film in the Dragon Ball franchise
"
Fist of the North Star,Tony Randel,"Gary Daniels, Costas Mandylor, Chris Penn",United StatesJapan,"Martial arts
"
Galaxis (a.k.a. Terminal Force),William Mesa,"Craig Fairbrass, John Romualdi, Sam Raimi",United States,"[57]
"
Gamera: Guardian of the Universe,Shusuke Kaneko,"Tsuyoshi Ihara, Akira Onodera, Ayako Fujitani",Japan,"
"
Ghost in the Shell,Mamoru Oshii,,Japan,"Anime
"
Godzilla vs. Destoroyah,Takao Okawara,"Megumi Odaka, Momoko Kochi",Japan,"
"
GoldenEye,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco",United KingdomUnited States,"
"
Heatseeker,Albert Pyun,Keith Cooke,United States,"
"
Johnny Mnemonic,Robert Longo,"Keanu Reeves, Dolph Lundgren, Takeshi Kitano",Canada,"
"
Judge Dredd,Danny Cannon,"Sylvester Stallone, Armand Assante, Diane Lane, Rob Schneider",United States,"
"
Memories,"Katsuhiro Otomo, Koji Morimoto, Tensai Okamura",,Japan,"Anime
"
Mighty Morphin Power Rangers: The Movie,Bryan Spicer,"Karan Ashley, Johnny Yong Bosch, Steve Cardenas",United StatesJapan,"
"
Mosquito,Gary Jones,"Gunnar Hansen, Ron Asheton, Steve Dixon",United States,"
"
"Mutant Species
","David A. Prior
","Leo Rossi, Ted Prior, Denise Crosby, Grant Gelt",United States,"[nb 8][58]
"
Nemesis 2: Nebula,Albert Pyun,"Sue Price, Chad Stahelski, Tina Cote",United States,"
"
"Screamers
","Christian Duguay
","Ron White, Peter Weller
",United StatesCanada,"
"
Species,Roger Donaldson,"Natasha Henstridge, Ben Kingsley, Michael Madsen",United States,"
"
Strange Days,Kathryn Bigelow,"Ralph Fiennes, Angela Bassett, Juliette Lewis",United States,"
"
Tank Girl,Rachel Talalay,"Lori Petty, Ice-T, Naomi Watts, Malcolm McDowell",United States,"
"
Terminal Impact,Yossi Wein,"Bryan Genesse, Frank Zagarino, Jennifer Millar",United States,"[59][nb 9]
"
Timemaster,James Glickenhaus,"Jesse Cameron-Glickenhaus, Pat Morita, Joanna Pacula",United States,"Direct-to-video
"
12 Monkeys,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer",United States,"[nb 10]
"
Vampire Vixens from Venus,Ted A. Bohus,"Leon Head, Michelle Bauer, Theresa Lynn",United States,"[60]
"
Village of the Damned,John Carpenter,"Christopher Reeve, Kirstie Alley, Linda Kozlowski",United States,"
"
Virtuosity,Brett Leonard,"Denzel Washington, Kelly Lynch, Russell Crowe",United States,"
"
Waterworld,Kevin Reynolds,"Kevin Costner, Dennis Hopper, Jeanne Tripplehorn, Tina Majorino",United States,"[nb 11]
"
White Dwarf,Peter Markle,"Neal McDonough, Beverley Mitchell",United States,"
"
Adrenalin: Fear the Rush,Albert Pyun,"Christopher Lambert, Natasha Henstridge, Norbert Weisser",United States,"
"
The Arrival,David N. Twohy,"Charlie Sheen, Ron Silver, Lindsay Crouse",United States,"
"
Barb Wire,David Hogan,"Pamela Anderson, Temuera Morrison",United States,"[nb 12]
"
Crossworlds,Krishna Rao,"Rutger Hauer, Josh Charles, Stuart Wilson",United States,"[63]
"
Escape from L.A.,John Carpenter,"Kurt Russell, Stacy Keach, Steve Buscemi",United States,"
"
Gamera 2: Attack of Legion,Shusuke Kaneko,,Japan,"
"
Independence Day,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum",United States,"[nb 13]
"
The Island of Dr. Moreau,John Frankenheimer,"Marlon Brando, Val Kilmer, Fairuza Balk, David Thewlis, Ron Perlman",United States,"[nb 14]
"
Mars Attacks!,Tim Burton,"Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker",United States,"
"
Memory Run,Allan A. Goldstein,"Karen Duffy, Matt McCoy",United States,"[64]
"
Multiplicity,Harold Ramis,"Michael Keaton, Andie MacDowell",United States,"
"
Nemesis 3: Prey Harder,Albert Pyun,"Sue Price, Tim Thomerson, Xavier Declie",United States,"
"
Nemesis 4: Death Angel,Albert Pyun,"Sue Price, Andrew Divoff, Norbert Weisser",United States,"
"
Omega Doom,Albert Pyun,"Rutger Hauer, Shannon Whirry, Norbert Weisser",United States,"
"
Rubber's Lover,Shozin Fukui,,Japan,"
"
Sci-Fighters,Peter Svatek,"Roddy Piper, Jayne Heitmeyer",United States,"
"
Solo,Norberto Barba,"Mario Van Peebles, Barry Corbin, William Sadler",United States,"
"
Space Truckers,Stuart Gordon,"Dennis Hopper, Stephen Dorff, Debi Mazar",United StatesIreland,"
"
Star Trek: First Contact,Jonathan Frakes,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Alice Krige",United States,"[nb 15]
"
Tykho Moon,Enki Bilal,"Johan Leysen, Julie Delpy, Tchéky Karyo",FranceGermany,"[65]
"
Zone 39,John Tatoulis,"Carolyn Bock, Peter Phelps, William Zappa",Australia,"[66][67]
"
Abre los ojos (a.k.a. Open Your Eyes),Alejandro Amenábar,"Eduardo Noriega, Penélope Cruz",Spain,"
"
Alien Resurrection,Jean-Pierre Jeunet,"Sigourney Weaver, Winona Ryder, Ron Perlman, Brad Dourif",United States,"
"
Contact,Robert Zemeckis,"Jodie Foster, Matthew McConaughey, James Woods, Tom Skerritt",United States,"[nb 16]
"
Cube,Vincenzo Natali,"Maurice Dean Wint, Nicole de Boer, Nicky Guadagni",Canada,"
"
Dark Planet,Albert Magnoli,"Paul Mercurio, Harley Jane Kozak, Michael York",United States,"
"
Deathline,Tibor Takacs,"Rutger Hauer, Mark Dacascos",Canada,"
"
The End of Evangelion,"Hideaki Anno, Kazuya Tsurumaki",,Japan,"Anime
"
Event Horizon,Paul W. S. Anderson,"Laurence Fishburne, Sam Neill, Kathleen Quinlan",United States,"
"
Face/Off,John Woo,"John Travolta, Nicolas Cage, Joan Allen",United States,"
"
The Fifth Element,Luc Besson,"Bruce Willis, Gary Oldman, Milla Jovovich, Ian Holm",France,"
"
Full Metal Yakuza,Takashi Miike,,Japan,"
"
Gattaca,Andrew Niccol,"Ethan Hawke, Uma Thurman, Jude Law",United States,"
"
The Lost World: Jurassic Park,Steven Spielberg,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite",United States,"
"
Men in Black,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Linda Fiorentino",United States,"[nb 17]
"
Mimic,Guillermo del Toro,"Mira Sorvino, Jeremy Northam, Josh Brolin",United States,"
"
Nirvana,Gabriele Salvatores,"Christopher Lambert, Diego Abatantuono, Emmanuelle Seigner",ItalyFrance,"
"
The Postman,Kevin Costner,"Kevin Costner, Will Patton, Larenz Tate, Olivia Williams",United States,"[nb 18]
"
Spaceman,Scott Dikkers,"David Ghilardi, Frederick Husar, Deborah King",United States,"
"
Starship Troopers,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards",United States,"
"
The Sticky Fingers of Time,Hilary Brougher,"Terumi Matthews, Nicole Zaray, James Urbaniak",United States,"[68]
"
Andromedia,Takashi Miike,"Hiroko Shimabukuro, Eriko Imai, Kenji Harada",Japan,"
"
Armageddon,Michael Bay,"Bruce Willis, Billy Bob Thornton, Liv Tyler, Ben Affleck, Will Patton",United States,"[nb 19]
"
Dark City,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt",United States,"[nb 20]
"
Deep Impact,Mimi Leder,"Robert Duvall, Téa Leoni, Elijah Wood, Morgan Freeman",United States,"Disaster film
"
Deep Rising,Stephen Sommers,"Treat Williams, Famke Janssen, Anthony Heald",United States,"
"
Disturbing Behavior,David Nutter,"James Marsden, Katie Holmes, Nick Stahl",United States,"
"
The Faculty,Robert Rodriguez,"Clea DuVall, Jordana Brewster, Laura Harris",United States,"
"
Godzilla,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo",United StatesJapan,"[nb 21]
"
Lost in Space,Stephen Hopkins,"William Hurt, Heather Graham, Matt LeBlanc, Gary Oldman",United States,"
"
Martian Successor Nadesico: The Motion Picture – Prince of Darkness,Tatsuo Satō,"Yūji Ueda, Omi Minami, Houko Kuwashima",Japan,"
"
New Rose Hotel,Abel Ferrara,"Christopher Walken, Willem Dafoe, Asia Argento",United States,"
"
Pi,Darren Aronofsky,"Sean Gullette, Mark Margolis, Ben Shenkman",United States,"[nb 22]
"
Six-String Samurai,Lance Mungia,"Jeffrey Falcon, Justin McGuire, Stephane Gauger",United States,"
"
Skyggen (a.k.a. Webmaster),Thomas Borch Nielsen,"Lars Bom, Puk Scharbau, Jørgen Kiil",Denmark,"
"
Soldier,Paul W. S. Anderson,"Kurt Russell, Jason Scott Lee, Connie Nielsen",United States,"
"
Species II,Peter Medak,"Michael Madsen, Natasha Henstridge, Marg Helgenberger",United States,"
"
Sphere,Barry Levinson,"Dustin Hoffman, Sharon Stone, Samuel L. Jackson",United States,"
"
Spriggan,Hirotsugu Kawasaki,,Japan,"Anime
"
Star Kid,Manny Coto,"Joseph Mazzello, Richard Gilliland, Corinne Bohrer",United States,"
"
Star Trek: Insurrection,Jonathan Frakes,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Donna Murphy",United States,"
"
"The Truman Show
","Peter Weir
","Jim Carrey
","United States
","Comedy-Drama
"
The Warlord: Battle for the Galaxy (a.k.a. The Osiris Chronicles),Joe Dante,,United States,"
"
The X-Files,Rob Bowman,"David Duchovny, Gillian Anderson, Martin Landau",United States,"
"
A.Li.Ce,Kenichi Maejima,,Japan,"Animation[69]
"
The Astronaut's Wife,Rand Ravich,"Johnny Depp, Charlize Theron, Joe Morton, Donna Murphy",United States,"
"
Barren Illusion,Kiyoshi Kurosawa,"Shinji Takeda, Miako Tadano, Yutaka Yasui",Japan,"[70]
"
Beowulf,Graham Baker,"Christopher Lambert, Rhona Mitra, Oliver Cotton",United StatesUnited Kingdom,"
"
Bicentennial Man,Chris Columbus,"Robin Williams, Sam Neill, Embeth Davidtz",United States,"
"
